file_name	group	N_size	iteration	tot_loci	missing_rate	prop_SegSNPs	prop_SegSingle	prop_SegMaf05
hcpc_N5_1	hcpc	5	1	1061	0	3.3358549501	1.73015446936	3.3358549501
hcpc_N5_2	hcpc	5	2	1061	0	4.48415957125	2.72507239487	4.48415957125
hcpc_N5_3	hcpc	5	3	1061	0	4.06572929019	2.50908201103	4.06572929019
hcpc_N5_4	hcpc	5	4	1061	0	3.36363383649	1.8958663442	3.36363383649
hcpc_N5_5	hcpc	5	5	1061	0	2.24700726107	0.703211879375	2.24700726107
hcpc_N5_6	hcpc	5	6	1061	0	5.0832261334	3.53954703154	5.0832261334
hcpc_N5_7	hcpc	5	7	1061	0	3.89908256881	2.88226299694	3.89908256881
hcpc_N5_8	hcpc	5	8	1061	0	3.84461175213	2.39230186662	3.84461175213
hcpc_N5_9	hcpc	5	9	1061	0	4.35519624462	3.00467559563	4.35519624462
hcpc_N5_10	hcpc	5	10	1061	0	3.91985336999	2.4847954678	3.91985336999
hcpc_N5_11	hcpc	5	11	1061	0	3.82077907177	2.47069397434	3.82077907177
hcpc_N5_12	hcpc	5	12	1061	0	4.28450941805	2.85071689626	4.28450941805
hcpc_N5_13	hcpc	5	13	1061	0	3.9115250291	2.57442208548	3.9115250291
hcpc_N5_14	hcpc	5	14	1061	0	3.54581816871	2.42874130662	3.54581816871
hcpc_N5_15	hcpc	5	15	1061	0	4.73225644782	3.13427657196	4.73225644782
hcpc_N5_16	hcpc	5	16	1061	0	5.03885146043	3.55151854323	5.03885146043
hcpc_N5_17	hcpc	5	17	1061	0	2.84320427568	1.45422907215	2.84320427568
hcpc_N5_18	hcpc	5	18	1061	0	3.13946102894	1.66953996915	3.13946102894
hcpc_N5_19	hcpc	5	19	1061	0	4.12008121932	2.61906597784	4.12008121932
hcpc_N5_20	hcpc	5	20	1061	0	3.76264427738	2.26636667947	3.76264427738
hcpc_N5_21	hcpc	5	21	1061	0	4.1964401715	2.36455761985	4.1964401715
hcpc_N5_22	hcpc	5	22	1061	0	4.77480939187	3.1164681376	4.77480939187
hcpc_N5_23	hcpc	5	23	1061	0	5.38790225664	3.67705968754	5.38790225664
hcpc_N5_24	hcpc	5	24	1061	0	3.17536685109	1.62978109213	3.17536685109
hcpc_N5_25	hcpc	5	25	1061	0	4.1107266436	2.46366782007	4.1107266436
hcpc_N5_26	hcpc	5	26	1061	0	5.71177504394	4.12181458699	5.71177504394
hcpc_N5_27	hcpc	5	27	1061	0	4.34979984318	2.78981470018	4.34979984318
hcpc_N5_28	hcpc	5	28	1061	0	2.48657007977	1.12322969233	2.48657007977
hcpc_N5_29	hcpc	5	29	1061	0	5.34560037745	3.8499646143	5.34560037745
hcpc_N5_30	hcpc	5	30	1061	0	3.82101558572	2.20019631784	3.82101558572
hcpc_N5_31	hcpc	5	31	1061	0	2.50375017046	1.02004636574	2.50375017046
hcpc_N5_32	hcpc	5	32	1061	0	3.21215705901	1.59697893444	3.21215705901
hcpc_N5_33	hcpc	5	33	1061	0	3.49764644351	2.03539051604	3.49764644351
hcpc_N5_34	hcpc	5	34	1061	0	3.343660269	1.82673416956	3.343660269
hcpc_N5_35	hcpc	5	35	1061	0	3.48663887149	2.05223477566	3.48663887149
hcpc_N5_36	hcpc	5	36	1061	0	3.52618519002	2.16359757956	3.52618519002
hcpc_N5_37	hcpc	5	37	1061	0	3.48955249133	1.9985618814	3.48955249133
hcpc_N5_38	hcpc	5	38	1061	0	4.43317831821	2.93702828391	4.43317831821
hcpc_N5_39	hcpc	5	39	1061	0	5.28633617926	3.62433773158	5.28633617926
hcpc_N5_40	hcpc	5	40	1061	0	4.48426479539	3.0324728796	4.48426479539
hcpc_N5_41	hcpc	5	41	1061	0	2.3637626555	0.938769496306	2.3637626555
hcpc_N5_42	hcpc	5	42	1061	0	4.02960720789	2.59890746565	4.02960720789
hcpc_N5_43	hcpc	5	43	1061	0	5.22989683678	3.87886862062	5.22989683678
hcpc_N5_44	hcpc	5	44	1061	0	5.60914706269	3.92430017085	5.60914706269
hcpc_N5_45	hcpc	5	45	1061	0	3.74486428235	2.24961271637	3.74486428235
hcpc_N5_46	hcpc	5	46	1061	0	3.47514554411	2.01074787282	3.47514554411
hcpc_N5_47	hcpc	5	47	1061	0	4.44862155388	2.79866332498	4.44862155388
hcpc_N5_48	hcpc	5	48	1061	0	6.75771335831	5.6216440201	6.75771335831
hcpc_N5_49	hcpc	5	49	1061	0	3.38834820828	1.9845719155	3.38834820828
hcpc_N5_50	hcpc	5	50	1061	0	4.8093605003	3.31248739157	4.8093605003
hcpc_N5_51	hcpc	5	51	1061	0	4.07404725702	2.58489609731	4.07404725702
